title,views,video_link,date_time,thumbnail_link
GfG 160 | Day- 24 | Merge Overlapping Intervals | 160 Days Daily DSA Problem Solving | GeeksforGeeks,581 views,/watch?v=NgqBuVrtB9U,3 weeks ago,https://i.ytimg.com/vi/NgqBuVrtB9U/hqdefault.jpg
GfG 160 | Day - 23 | Count Inversions | 160 Days Daily DSA Problem Solving | GeeksforGeeks,732 views,/watch?v=XhWxlh1ObDc,3 weeks ago,https://i.ytimg.com/vi/XhWxlh1ObDc/hqdefault.jpg
GfG 160 | Day - 22 | H-Index | 160 Days Daily DSA Problem Solving | GeeksforGeeks,775 views,/watch?v=9fA8Pg4Q2QI,3 weeks ago,https://i.ytimg.com/vi/9fA8Pg4Q2QI/hqdefault.jpg
Tech Hiring in 2025: Complete Career Guide by Bain & Company Director,661 views,/watch?v=bVQCe5l_cZw,3 weeks ago,https://i.ytimg.com/vi/bVQCe5l_cZw/hqdefault.jpg
"GfG 160 | Day - 21 | Sort an array of 0s, 1s and 2s | 160 Days Daily DSA Problem Solving | GfG",632 views,/watch?v=A-ytmX7bXE4,3 weeks ago,https://i.ytimg.com/vi/A-ytmX7bXE4/hqdefault.jpg
GfG 160 | FAQs Video | 160 Days Daily DSA Problem Solving,914 views,/watch?v=EQTzVinWQ_g,4 weeks ago,https://i.ytimg.com/vi/EQTzVinWQ_g/hqdefault.jpg
GfG 160 | Day - 20 | String Rotations of each other | 160 Days Daily DSA Problem Solving | GfG,613 views,/watch?v=UOLi02in9BE,4 weeks ago,https://i.ytimg.com/vi/UOLi02in9BE/hqdefault.jpg
GeeksforGeeks- A Global Coding Community,439 views,/watch?v=hqA1A9AUiWU,4 weeks ago,https://i.ytimg.com/vi/hqA1A9AUiWU/hqdefault.jpg
GfG 160 | Day - 19 | Min Chars to Add for Palindrome | 160 Days Daily DSA Problem Solving | GfG,700 views,/watch?v=Kl302p8FxS4,4 weeks ago,https://i.ytimg.com/vi/Kl302p8FxS4/hqdefault.jpg
GfG 160 | Day - 18 | KMP Algorithm for Pattern Searching | 160 Days Daily DSA Problem Solving | GfG,769 views,/watch?v=UUcec5qbfZI,4 weeks ago,https://i.ytimg.com/vi/UUcec5qbfZI/hqdefault.jpg
Introduction to Strings: 4-Hour Complete Video | DSA Series for Beginners,4.8K views,/watch?v=qdj6l7PaulA,1 month ago,https://i.ytimg.com/vi/qdj6l7PaulA/hqdefault.jpg
GfG 160 | Day - 17 | First Non-Repeating Character | 160 Days Daily DSA Problem Solving | GfG,591 views,/watch?v=NxnfmfScXBE,1 month ago,https://i.ytimg.com/vi/NxnfmfScXBE/hqdefault.jpg
GfG 160 | Day - 16 | Anagram Check | 160 Days Daily DSA Problem Solving | GeeksforGeeks,746 views,/watch?v=Tr3s_nuSGgM,1 month ago,https://i.ytimg.com/vi/Tr3s_nuSGgM/hqdefault.jpg
GfG 160 | Day - 15 | Add Two Binary Strings | 160 Days Daily DSA Problem Solving | GfG,879 views,/watch?v=WMmu8ktpF3k,1 month ago,https://i.ytimg.com/vi/WMmu8ktpF3k/hqdefault.jpg
"I went to the House of a Microsoft Software Engineer | Life at Microsoft |SDE Roadmap, Salary, Perks",15K views,/watch?v=vNVSlT0WgKk,1 month ago,https://i.ytimg.com/vi/vNVSlT0WgKk/hqdefault.jpg
GfG 160 | Day - 14 | String to Integer - Your Own atoi() | 160 Days Daily DSA Problem Solving | GfG,835 views,/watch?v=ne_Ki_sdRSk,1 month ago,https://i.ytimg.com/vi/ne_Ki_sdRSk/hqdefault.jpg
GfG 160 | Day - 13 | First Missing Positive | 160 Days Daily DSA Problem Solving | GeeksforGeeks,796 views,/watch?v=LGGKan4TOXM,1 month ago,https://i.ytimg.com/vi/LGGKan4TOXM/hqdefault.jpg
GfG 160 | Day - 12 | Maximum Sum Subarray in Circular | 160 Days Daily DSA Problem Solving | GfG,817 views,/watch?v=l7smKuFKnNU,1 month ago,https://i.ytimg.com/vi/l7smKuFKnNU/hqdefault.jpg
"How She Cracked Google, Microsoft and Goldman Sachs? | Inspirational Journey",4.2K views,/watch?v=EI_sa4mRuzY,1 month ago,https://i.ytimg.com/vi/EI_sa4mRuzY/hqdefault.jpg
