Brand,Model,Mileage,Year,Price
BMW,X5,40401,2022,39995.0
Mercedes-Benz,GLB,62167,2020,19650.0
Mercedes-Benz,GL,117594,2013,12495.0
Jeep,Grand Cherokee,98883,2021,21205.0
Tesla,Model 3,53642,2021,15995.0
Jeep,Grand Cherokee WK,79600,2021,21488.0
Nissan,Sentra,23871,2021,14500.0
Ford,Explorer,80220,2021,28995.0
Volkswagen,CC,98348,2014,7495.0
Ford,Transit Cargo Van,91328,2017,17482.0
Ford,Fusion,112461,2014,5995.0
Mercedes-Benz,A-Class,32135,2019,15900.0
Chevrolet,Sonic,84034,2016,6995.0
Toyota,Camry,46700,2022,19900.0
BMW,3 Series,44129,2021,18916.0
Nissan,Versa,59515,2020,10495.0
BMW,X5,63227,2019,24990.0
Hyundai,Accent,123669,2016,5999.0
Mazda,Mazda6,86806,2010,5995.0
Acura,MDX,37027,2022,28495.0
Mercedes-Benz,GLB,43881,2021,21988.0
Maserati,Ghibli,78108,2014,14956.0
BMW,X3,85011,2019,13988.0
Ford,Escape,64865,2020,13982.0
Jeep,Wrangler,19136,2024,34995.0
Jeep,Wrangler,62784,2017,14999.0
Nissan,Rogue,78049,2019,11005.0
Land Rover,Range Rover Velar,32726,2019,26999.0
Mercedes-Benz,GLE,69533,2022,31995.0
Mercedes-Benz,Metris Passenger Van,103630,2018,13999.0
Honda,Odyssey,154424,2017,7999.0
Dodge,Challenger,46924,2022,17226.0
BMW,X3,100545,2014,7999.0
Ford,Taurus,80506,2016,8499.0
BMW,5 Series,109951,2015,7995.0
Ford,Fusion,64493,2017,10495.0
Audi,Q5,3446,2024,36295.0
Volvo,XC90,9574,2024,44495.0
BMW,5 Series,95154,2017,11247.0
Mercedes-Benz,GLC,65532,2019,16853.0
Mercedes-Benz,C-Class,38221,2020,17999.0
Tesla,Model X,82965,2016,30990.0
INFINITI,QX60,145799,2015,6999.0
Chevrolet,Traverse,20424,2023,28662.0
Land Rover,Range Rover Evoque,82871,2013,8999.0
Mercedes-Benz,GLC,66652,2019,16933.0
Ram,1500 Classic,34926,2021,16110.0
Nissan,Versa,127000,2014,3982.0
Nissan,Rogue,77305,2019,12995.0
Jeep,Compass,27450,2022,19555.0
BMW,4 Series,38888,2021,22396.0
Toyota,RAV4,38277,2020,20995.0
Nissan,Pathfinder,77459,2017,9999.0
Mercedes-Benz,SL,50728,2011,21990.0
Chevrolet,Malibu,54347,2021,12800.0
Mercedes-Benz,GLC,59535,2018,15995.0
Hyundai,Santa Fe,32947,2020,17714.0
Jeep,Grand Cherokee,111766,2019,14900.0
Jeep,Wrangler,64119,2013,15889.0
Toyota,RAV4,127079,2016,10995.0
Nissan,Sentra,60760,2021,10800.0
Nissan,Rogue,64947,2021,14632.0
Toyota,Sienna,139566,2014,9995.0
Jeep,Cherokee,68798,2016,10982.0
Volvo,XC40,11,2024,40885.0
BMW,X5,56139,2020,24490.0
Honda,Accord,48235,2022,18995.0
BMW,5 Series,50104,2021,21988.0
Ram,2500,180778,2015,8298.0
Honda,Accord,56049,2022,17995.0
Volvo,S60,22391,2024,28995.0
Nissan,Sentra,98690,2018,7995.0
Mercedes-Benz,M-Class,143131,2015,16700.0
Chrysler,Pacifica,40843,2021,19388.0
Mercedes-Benz,GLB,76554,2021,19426.0
Dodge,Charger,6240,2023,23900.0
