Brand,Model,Mileage,Year,Price
Tesla,Model 3,64408,2021,19998.0
BMW,X1,3389,2023,35117.0
Honda,HR-V,46334,2022,19991.0
Polestar,2,31084,2021,25999.0
Toyota,Tacoma,55326,2019,22988.0
Chevrolet,Silverado 3500,86018,2004,20995.0
BMW,X1,10533,2023,34490.0
Jaguar,I-PACE,48032,2019,23299.0
Jeep,Wrangler,28250,2021,34888.0
Nissan,Sentra,61468,2021,15900.0
Ford,Mustang Mach-E,33969,2021,27499.0
BMW,X1,14541,2023,33145.0
Honda,Accord,14863,2023,26991.0
Maserati,Levante,69790,2017,20988.0
Ford,F-150,93803,2015,26975.0
Jeep,Wrangler,54914,2017,20888.0
Chrysler,Pacifica,51197,2020,23998.0
Tesla,Model 3,44963,2022,28688.0
Nissan,Rogue,33821,2020,16397.0
Toyota,Sienna,236692,2011,5995.0
Honda,Accord,25525,2022,28195.0
Subaru,Legacy,92906,2016,10998.0
Toyota,Corolla,39207,2019,16495.0
Acura,RDX,49113,2019,27998.0
Ford,F-150,70648,2019,26999.0
BMW,X5,43576,2022,40747.0
Polestar,2,43198,2021,25299.0
Tesla,Model Y,66926,2022,29400.0
Honda,CR-V,17790,2023,31250.0
Honda,HR-V,13111,2022,23991.0
Honda,Civic,39601,2023,20988.0
Honda,CR-V,17943,2021,28991.0
Honda,Civic,45730,2022,23891.0
Lexus,GS,33008,2019,33998.0
Ford,Fusion,78077,2017,9740.0
Chevrolet,Malibu,105581,2017,10667.0
Toyota,Corolla,24756,2024,25988.0
Scion,tC,123687,2006,5950.0
BMW,3 Series,31161,2021,27916.0
Ford,Explorer,105880,2016,17998.0
BMW,X1,3784,2023,35010.0
BMW,i5,5243,2024,62698.0
INFINITI,QX80,100637,2018,20477.0
Aston Martin,DB11,9393,2019,100950.0
Mercedes-Benz,GLE,107095,2016,28500.0
Polestar,2,15511,2021,26999.0
Mercedes-Benz,GLE,46477,2019,44692.0
BMW,X1,2838,2023,35898.0
Cadillac,XT5,40143,2023,29998.0
Ford,Escape,20932,2023,24976.0
Nissan,Altima,66112,2022,16900.0
Kia,Sedona,54368,2018,20991.0
Mercedes-Benz,SL,58723,2003,12800.0
Kia,Forte,20788,2021,17596.0
Nissan,Ariya,17794,2023,27799.0
Ram,1500 Classic,60526,2021,25388.0
Ford,Expedition,67426,2020,30991.0
Acura,ZDX,161239,2010,8995.0
Mazda,CX-30,18560,2021,21697.0
Chevrolet,Traverse,157320,2017,9473.0
Cadillac,Escalade,58850,2021,61995.0
BMW,X1,3885,2023,35298.0
BMW,i3,21424,2021,20499.0
Nissan,Altima,65978,2022,16900.0
Hyundai,Kona,9356,2024,25900.0
Chevrolet,Malibu,96742,2010,6275.0
Tesla,Model 3,58053,2021,27500.0
Maserati,GranTurismo,26030,2013,33777.0
Chevrolet,Malibu,26825,2022,16584.0
Tesla,Model 3,7693,2021,28300.0
Toyota,Tacoma,15954,2022,28895.0
Hyundai,IONIQ 6,12545,2024,29949.0
Nissan,Altima,43285,2013,9999.0
Ford,Transit Cargo Van,43216,2019,30374.0
Volkswagen,Jetta,96795,2013,9999.0
Jaguar,XJ,123000,2012,10888.0
BMW,X1,15040,2023,32910.0
Honda,CR-V,49620,2019,22928.0
Toyota,Corolla,12018,2022,19998.0
