Brand,Model,Mileage,Year,Price
BMW,3 Series,44129,2021,18916
Nissan,Versa,59515,2020,10495
BMW,X5,63227,2019,24990
Hyundai,Accent,123669,2016,5999
Mazda,Mazda6,86806,2010,5995
Acura,MDX,37027,2022,28495
Mercedes-Benz,GLB,43881,2021,21988
Maserati,Ghibli,78108,2014,14956
BMW,X3,85011,2019,13988
Ford,Escape,64865,2020,13982
Jeep,Wrangler,19136,2024,34995
Jeep,Wrangler,62784,2017,14999
Nissan,Rogue,78049,2019,11005
Land Rover,Range Rover Velar,32726,2019,26999
Mercedes-Benz,GLE,69533,2022,31995
Mercedes-Benz,Metris Passenger Van,103630,2018,13999
Honda,Odyssey,154424,2017,7999
Dodge,Challenger,46924,2022,17226
BMW,X3,100545,2014,7999
Ford,Taurus,80506,2016,8499
BMW,5 Series,109951,2015,7995
Ford,Fusion,64493,2017,10495
Audi,Q5,3446,2024,36295
Volvo,XC90,9574,2024,44495
BMW,5 Series,95154,2017,11247
Mercedes-Benz,GLC,65532,2019,16853
Mercedes-Benz,C-Class,38221,2020,17999
Tesla,Model X,82965,2016,30990
INFINITI,QX60,145799,2015,6999
Chevrolet,Traverse,20424,2023,28662
Land Rover,Range Rover Evoque,82871,2013,8999
Mercedes-Benz,GLC,66652,2019,16933
Ram,1500 Classic,34926,2021,16110
Nissan,Versa,127000,2014,3982
Nissan,Rogue,77305,2019,12995
Jeep,Compass,27450,2022,19555
BMW,4 Series,38888,2021,22396
Toyota,RAV4,38277,2020,20995
Nissan,Pathfinder,77459,2017,9999
Mercedes-Benz,SL,50728,2011,21990
Chevrolet,Malibu,54347,2021,12800
Mercedes-Benz,GLC,59535,2018,15995
Hyundai,Santa Fe,32947,2020,17714
Jeep,Grand Cherokee,111766,2019,14900
Jeep,Wrangler,64119,2013,15889
Toyota,RAV4,127079,2016,10995
Nissan,Sentra,60760,2021,10800
Nissan,Rogue,64947,2021,14632
Toyota,Sienna,139566,2014,9995
Jeep,Cherokee,68798,2016,10982
Volvo,XC40,11,2024,40885
BMW,X5,56139,2020,24490
Honda,Accord,48235,2022,18995
BMW,5 Series,50104,2021,21988
Ram,2500,180778,2015,8298
Honda,Accord,56049,2022,17995
Volvo,S60,22391,2024,28995
Nissan,Sentra,98690,2018,7995
Mercedes-Benz,M-Class,143131,2015,16700
Chrysler,Pacifica,40843,2021,19388
Mercedes-Benz,GLB,76554,2021,19426
Dodge,Charger,6240,2023,23900
BMW,X6,103007,2018,17995
BMW,5 Series,32611,2021,21990
Chrysler,300,92716,2018,12995
Ford,Explorer,101722,2013,7499
Jeep,Grand Cherokee,122124,2014,8599
Hyundai,Elantra,7484,2022,15495
Hyundai,Sonata,62131,2018,11350
BMW,3 Series,56676,2021,19679
Honda,Accord,117518,2014,8995
Volkswagen,Taos,36873,2022,18611
Jeep,Grand Cherokee,98568,2015,9999
Kia,Sportage,56562,2019,12365
Subaru,Outback,100273,2017,11500
BMW,3 Series,77558,2022,29800
Toyota,Corolla,69991,2019,12939
Honda,Insight,40274,2022,17399
Hyundai,Tucson,26,2024,30000
Chevrolet,Impala,93300,2017,10995
Chevrolet,Express Cargo Van,123928,2021,15999
Mercedes-Benz,GLC,69805,2020,17600
Mazda,Mazda6,16255,2021,15995
Audi,A6,118357,2015,9495
Jeep,Wrangler,38970,2017,22800
Kia,Forte,32669,2021,14488
BMW,X1,47661,2021,18890
Jeep,Grand Cherokee,95446,2014,10985
BMW,X3,87831,2019,18337
Ford,Escape,84862,2017,8053
Honda,Accord,115128,2016,11995
Nissan,Versa,99854,2021,9299
Mercedes-Benz,GLE,78042,2020,24168
Ford,F-150,31383,2022,35998
Honda,Accord,56808,2018,15000
INFINITI,QX60,70535,2019,14999
BMW,X2,52371,2020,17995
Audi,A6,96949,2020,18799
Chevrolet,Equinox,67342,2020,11870
Jeep,Wrangler,41557,2021,28995
GMC,Terrain,105691,2015,6999
GMC,Savana Passenger,96452,2020,20995
Mercedes-Benz,C-Class,41876,2019,22900
Ford,E-Transit Cargo Van,18918,2022,24988
BMW,3 Series,31533,2023,23988
BMW,5 Series,62745,2022,24287
BMW,6 Series,65922,2018,25990
BMW,3 Series,31734,2021,20990
Mitsubishi,Outlander Sport,8901,2021,14994
BMW,3 Series,72104,2022,29999
Honda,Accord,42097,2019,15990
Volkswagen,Passat,68515,2017,10982
Volkswagen,Tiguan,20680,2021,17911
Kia,Forte,3006,2024,17399
Lincoln,MKZ,118569,2012,5499
Jeep,Cherokee,106809,2019,11599
Chevrolet,Equinox,98044,2021,12499
Mercedes-Benz,GLA,102211,2017,10996
INFINITI,QX60,169275,2019,8995
Dodge,Charger,104329,2014,8499
Tesla,Model 3,63424,2023,18988
BMW,X3,46318,2022,25995
Porsche,911,9552,2020,125995
Maserati,Levante,34131,2022,29900
Chevrolet,Express Cargo Van,59046,2016,16492
GMC,Sierra 1500,57063,2020,38450
Buick,Envision,7877,2023,29500
BMW,M6,111920,2007,15995
Ford,Focus,178318,2012,3499
Mercedes-Benz,GLE,57452,2020,27490
BMW,3 Series,49212,2021,20995
Tesla,Model 3,49009,2020,22995
Jeep,Grand Cherokee WK,82936,2021,18200
Kia,Optima,110584,2018,7499
Mercedes-Benz,GLE,66374,2021,27495
Chevrolet,Express Passenger,130601,2015,12995
BMW,X5,79365,2018,16749
Jeep,Wrangler,81382,2016,15995
Jeep,Grand Cherokee,30772,2023,22900
Mitsubishi,Eclipse Cross,58375,2019,10999
Audi,Q5,5968,2024,36995
Ford,Super Duty F-350,99509,2017,28881
Mitsubishi,Mirage,42530,2022,9900
Jeep,Compass,69718,2019,12799
Jeep,Compass,65986,2018,11995
Hyundai,Santa Cruz,4190,2024,24674
Toyota,Avalon,194480,2008,3995
Rolls-Royce,Dawn,27016,2019,224995
Chrysler,Pacifica,30118,2021,23995
Mitsubishi,Outlander,101091,2019,10995
Acura,MDX,138000,2010,4995
Ford,F-150 Lightning,22123,2023,46777
Hyundai,Tucson,48161,2022,16900
Jeep,Wrangler,84641,2016,15499
Jeep,Wrangler,89496,2017,17895
Chrysler,200,96307,2013,5500
Dodge,Charger,51932,2022,23398
Hyundai,Sonata,69739,2017,8995
Ford,Edge,126622,2017,9900
Kia,Soul,92488,2020,9236
Audi,Q5,63692,2019,13979
INFINITI,Q50,52867,2019,15800
BMW,X4,31643,2024,31988
Jeep,Grand Cherokee,55799,2019,19177
Nissan,Altima,66083,2021,13688
Ford,Ranger,82952,2019,16995
Dodge,Durango,44809,2021,23156
Subaru,Forester,115415,2015,7995
Honda,Odyssey,50553,2021,21900
Mercedes-Benz,GLB,56590,2020,19195
GMC,Acadia,94203,2017,11995
Mercedes-Benz,C-Class,42067,2019,17400
Toyota,bZ4X,16913,2023,26759
Subaru,Crosstrek,65893,2019,17911
BMW,X1,71151,2018,11800
Tesla,Model 3,7056,2024,31388
Acura,TLX,58793,2022,22495
Volkswagen,Passat,3716,2020,13000
Jeep,Wrangler,30816,2021,24988
Ford,Super Duty F-250,91723,2019,35995
Land Rover,Range Rover Sport,62992,2020,24897
Ford,Escape,47031,2018,11995
Dodge,Durango,57527,2022,19966
BMW,2 Series,30148,2024,21988
Dodge,Charger,37058,2022,16091
Nissan,Versa,120663,2017,4999
Chrysler,Pacifica,64806,2022,16900
Ford,Explorer,81413,2018,16495
Volvo,XC90,18418,2023,40995
BMW,X3,60623,2021,18494
Mercedes-Benz,GLC,51430,2022,23988
Lexus,GS,114016,2016,15991
Hyundai,Tucson,41730,2022,17595
BMW,3 Series,44783,2021,19890
Chrysler,Pacifica,125043,2017,9995
Acura,ILX,61946,2018,12995
Jeep,Grand Cherokee,59304,2019,16281
Chevrolet,Express Cargo Van,80441,2016,13982
Chevrolet,Express Cargo Van,100326,2017,12995
Buick,Encore,15591,2022,18240
Ram,1500,85411,2014,11999
Ford,Mustang,24136,2016,16995
Volkswagen,Tiguan,52818,2021,14505
Ram,1500,107792,2021,18048
Mercedes-Benz,GLC,57243,2020,18995
Toyota,Tacoma,123261,2016,19995
BMW,3 Series,109419,2015,11995
Chevrolet,Equinox,94160,2013,6300
Honda,Accord,35077,2023,20189
Hyundai,Elantra,52976,2020,12060
Toyota,Highlander,47459,2021,24720
Toyota,Camry,28690,2022,20344
Jeep,Grand Cherokee,2698,2024,39995
INFINITI,Q50,64686,2020,19495
Honda,Civic,32410,2023,19878
Nissan,Rogue,27539,2021,20000
Kia,Sorento,33822,2022,21988
Mitsubishi,Mirage,28350,2022,9982
Jeep,Wrangler,6874,2024,41900
Mazda,Mazda6,104780,2013,5999
Subaru,Outback,52757,2017,15995
Toyota,Camry,88862,2012,9995
Mercedes-Benz,C-Class,71523,2021,20250
Mercedes-Benz,GLS,21753,2021,47995
Audi,A5,58409,2021,19490
Jeep,Grand Cherokee,83815,2018,15720
Ford,F-150,143111,2015,12995
Ford,Focus,72500,2016,7900
Ford,Expedition,76451,2021,33995
Mazda,CX-5,79685,2021,16276
Ford,Mustang,67507,2022,15895
Land Rover,Range Rover Sport,70623,2015,16995
Mazda,CX-5,127542,2016,9495
Toyota,Corolla,103792,2010,7600
Audi,A6,140739,2014,6495
Chevrolet,Malibu,123535,2018,7499
Volkswagen,Tiguan,23435,2021,19911
Kia,Optima,127734,2019,7999
Toyota,RAV4,27572,2021,20888
Dodge,Charger,58224,2021,14900
MINI,Electric Hardtop,16297,2022,15995
Dodge,Durango,59499,2020,22768
BMW,X5,87068,2020,25379
Tesla,Model 3,15081,2023,21895
Toyota,RAV4,57304,2021,21099
Ford,Transit Cargo Van,111195,2017,14999
Nissan,Altima,74261,2019,13500
Nissan,Altima,62636,2016,8865
Jeep,Grand Cherokee WK,24785,2021,32744
Honda,Accord,56082,2020,16995
Ford,Transit Cargo Van,126482,2016,12999
Toyota,Camry,61418,2022,17400
BMW,X5,44999,2022,36800
Mazda,Mazda3,60172,2018,13995
Jeep,Wrangler,73179,2018,21995
Kia,Soul,117223,2015,4499
Hyundai,Tucson,59232,2020,18998
Toyota,RAV4,54434,2022,21690
